epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0944,1.12992,3.49578,1.14433,0.00588,1,0.52632,0.3312,0.6217,3.29111,0.88938,0.0001,0.0001,0.0001
2,124.085,0.80676,2.25338,0.94233,1,0.19893,0.8224,0.61357,0.73692,2.79492,0.84829,0.000215644,0.000215644,0.000215644
3,180.17,0.79046,1.42433,0.94137,1,0.48346,0.84906,0.72364,0.57458,2.60845,0.81419,0.000326536,0.000326536,0.000326536
4,233.006,0.7002,1.24126,0.89878,1,0.16719,0.81865,0.67979,0.58596,2.80786,0.81774,0.000432676,0.000432676,0.000432676
5,285.226,0.78766,1.18491,0.94131,1,0.39099,0.88341,0.72506,0.61781,2.7154,0.83542,0.000534064,0.000534064,0.000534064
6,334.061,0.69434,1.09648,0.93426,1,0.184,0.78692,0.67094,0.56604,2.80986,0.83186,0.0006307,0.0006307,0.0006307
7,383.521,0.72647,1.03785,0.9209,1,0.10137,0.8257,0.70219,0.60327,2.81004,0.8502,0.000722584,0.000722584,0.000722584
8,431.937,0.68699,1.02386,0.93399,1,0.25055,0.77161,0.67901,0.57111,2.86715,0.86038,0.000809716,0.000809716,0.000809716
9,481.191,0.75603,1.05699,0.94459,1,0.79218,0.995,0.84415,0.60763,2.49655,0.86714,0.000892096,0.000892096,0.000892096
10,530.764,0.73387,1.04841,0.96142,1,0.74202,0.99464,0.84772,0.61665,2.37744,0.87905,0.000969724,0.000969724,0.000969724
11,579.036,0.71204,1.06711,0.97115,1,0.88259,0.99488,0.86662,0.56387,2.1384,0.86061,0.0010426,0.0010426,0.0010426
12,629.871,0.72916,0.87406,0.94393,0.99376,0.97091,0.99458,0.85157,0.59069,1.72792,0.87082,0.00111072,0.00111072,0.00111072
13,678.104,0.66209,0.87655,0.92918,1,0.91376,0.99401,0.85265,0.58477,1.97254,0.88557,0.0011741,0.0011741,0.0011741
14,726.78,0.70777,0.96699,0.92591,1,0.91457,0.9886,0.84527,0.59118,1.88024,0.87574,0.00123272,0.00123272,0.00123272
15,775.466,0.67082,0.86262,0.91332,0.9566,0.9407,0.98679,0.84157,0.60647,1.60039,0.87601,0.00128658,0.00128658,0.00128658
16,824.496,0.63192,0.84373,0.91926,0.97195,0.9878,0.9926,0.83382,0.59596,1.28311,0.85627,0.0013357,0.0013357,0.0013357
17,874.201,0.68296,0.78741,0.92751,0.99377,0.97272,0.99476,0.85079,0.56069,1.32776,0.86011,0.0013664,0.0013664,0.0013664
18,924.407,0.66938,0.81244,0.92402,1,0.95611,0.99341,0.86364,0.55485,1.05286,0.86929,0.0013268,0.0013268,0.0013268
19,974.035,0.66293,0.80276,0.92795,0.96995,0.98414,0.99392,0.86434,0.54536,1.02201,0.8691,0.0012872,0.0012872,0.0012872
20,1022.73,0.6711,0.75656,0.92742,0.99394,0.99988,0.995,0.86835,0.53438,0.92473,0.85873,0.0012476,0.0012476,0.0012476
21,1072.5,0.63752,0.74924,0.90474,1,0.99908,0.995,0.86707,0.55095,0.85212,0.86353,0.001208,0.001208,0.001208
22,1127.65,0.63319,0.80802,0.91841,0.99993,1,0.995,0.87924,0.53539,0.778,0.85973,0.0011684,0.0011684,0.0011684
23,1180.23,0.60217,0.67974,0.89146,0.99927,1,0.995,0.87339,0.54059,0.78185,0.86109,0.0011288,0.0011288,0.0011288
24,1233.3,0.62339,0.6944,0.90072,0.99959,1,0.995,0.8758,0.52749,0.74948,0.85042,0.0010892,0.0010892,0.0010892
25,1284.97,0.5935,0.66717,0.89314,0.99931,1,0.995,0.8778,0.53318,0.75818,0.85051,0.0010496,0.0010496,0.0010496
26,1336.1,0.62257,0.64215,0.90504,0.99875,1,0.995,0.87986,0.4984,0.74728,0.8361,0.00101,0.00101,0.00101
27,1387.91,0.59134,0.61518,0.88871,0.99849,1,0.995,0.87441,0.50489,0.74431,0.84168,0.0009704,0.0009704,0.0009704
28,1438.76,0.60128,0.6831,0.90555,1,0.99986,0.995,0.88929,0.5017,0.76116,0.84928,0.0009308,0.0009308,0.0009308
29,1491.02,0.59744,0.65213,0.88984,1,0.99981,0.995,0.87914,0.50008,0.75347,0.84878,0.0008912,0.0008912,0.0008912
30,1543.4,0.55811,0.6119,0.88959,0.99271,1,0.995,0.88189,0.48212,0.72152,0.84815,0.0008516,0.0008516,0.0008516
31,1595.33,0.6007,0.64594,0.90564,0.99881,0.9939,0.995,0.88537,0.47433,0.714,0.84319,0.000812,0.000812,0.000812
32,1648.11,0.62591,0.64444,0.89767,1,0.99932,0.995,0.90052,0.45098,0.6496,0.83142,0.0007724,0.0007724,0.0007724
33,1702.4,0.54399,0.60682,0.88519,0.9998,1,0.995,0.89745,0.46034,0.66183,0.83212,0.0007328,0.0007328,0.0007328
34,1754.86,0.5945,0.61657,0.90513,0.99937,1,0.995,0.88757,0.46429,0.61335,0.83595,0.0006932,0.0006932,0.0006932
35,1806.82,0.57492,0.59915,0.88638,0.99928,1,0.995,0.89268,0.4606,0.58888,0.83497,0.0006536,0.0006536,0.0006536
36,1857.17,0.57744,0.57735,0.88251,0.99878,1,0.995,0.90503,0.43954,0.59006,0.82664,0.000614,0.000614,0.000614
37,1908.09,0.57302,0.53674,0.8882,0.99853,1,0.995,0.90278,0.44452,0.59304,0.82766,0.0005744,0.0005744,0.0005744
38,1957.02,0.56005,0.55511,0.86804,0.99872,1,0.995,0.89988,0.43217,0.58021,0.82695,0.0005348,0.0005348,0.0005348
39,2007.18,0.57499,0.58969,0.87916,0.99891,1,0.995,0.90254,0.43358,0.57778,0.82703,0.0004952,0.0004952,0.0004952
40,2058.61,0.5468,0.55131,0.87141,0.99907,1,0.995,0.90292,0.42452,0.55774,0.82558,0.0004556,0.0004556,0.0004556
41,2111.8,0.49058,0.56743,0.8585,0.99897,1,0.995,0.90655,0.41761,0.55236,0.82257,0.000416,0.000416,0.000416
42,2168.75,0.46759,0.55919,0.83663,0.99909,1,0.995,0.89815,0.42158,0.56626,0.82328,0.0003764,0.0003764,0.0003764
